Epoch,Train_mIoU,Val_mIoU
1,0.061846429868505345,0.08358478329986004
2,0.09194969847150207,0.11448751998201867
3,0.1070187749189906,0.1228617904523465
4,0.11994449621923363,0.13501699469052256
5,0.16760040228752834,0.20616443499263068
6,0.20821580814008486,0.23604581424733626
7,0.2554971128612206,0.3328964069796105
8,0.29844640125512256,0.32826690615620463
9,0.3387913665723648,0.3876135634258389
10,0.3768403185319833,0.38867273082335796
11,0.4094473258528689,0.43491367973232026
12,0.441595773038121,0.4319502795735995
13,0.4457487226518093,0.44901269832625984
14,0.47051605036937283,0.47570530755134927
15,0.48037786920216274,0.4798092022538185
16,0.4673558039490011,0.48942597100976853
17,0.5090870965367438,0.49149406603343476
18,0.5173231694033925,0.4836832843720913
19,0.5260826512463609,0.49809750708130496
20,0.5342116790368562,0.5125053777437036
21,0.5368755744057127,0.5038487867762645
22,0.5393127628432757,0.48832528246566653
23,0.5543562432880704,0.48988779087861384
24,0.5552046005190773,0.5083895431501636
25,0.5635241750050971,0.5128586989827454
26,0.5574020716540292,0.5285323064774275
27,0.5613452524381995,0.5247346822444038
28,0.5591260657418222,0.523919766318674
29,0.5783164191271433,0.523783436169227
30,0.564847440131813,0.5330804720520973
31,0.5771517823558083,0.548989894456463
32,0.5878317590579337,0.5437366844950399
33,0.5893684603271223,0.5340126917222127
34,0.5949324759405995,0.5607437888781229
35,0.6086405981205064,0.5625643817087015
36,0.6300214014312422,0.5504073228279595
37,0.6125197555906859,0.5618041940033435
38,0.6291073047672399,0.5669654744211584
39,0.6157987713337538,0.5847570637861889
40,0.6277825706693627,0.539985129237175
41,0.6362164056775245,0.5882329374551772
42,0.6483170230110938,0.5957369625568391
43,0.6503955332223665,0.6058945784966151
44,0.6618474790318446,0.5882373869419099
45,0.6551741656254637,0.5925373822450638
46,0.6640476452356034,0.6145230233669281
47,0.6745133812454613,0.6160393804311752
48,0.6836256993426519,0.5870327070355416
49,0.6730698400431058,0.6017852152387302
50,0.6816926291720432,0.5871315588553746
51,0.6841580789874901,0.6252575486898423
52,0.6862713320011442,0.6208740080396334
53,0.7043053907426919,0.6249118338028589
54,0.7116773544387383,0.6242319732904434
55,0.7156070637432013,0.6158085137605668
56,0.7289746090769768,0.629783805211385
57,0.732423959672451,0.6377055982748668
58,0.7271667303009466,0.6368077814579011
59,0.7478502390059557,0.6318854798873265
60,0.7518143011765047,0.6264494280020396
61,0.7577576444907623,0.6241676052411397
62,0.7607772187753157,0.6455320040384929
63,0.763200727376071,0.6373177935679754
64,0.7642268825661053,0.6332312434911728
65,0.7763270521705802,0.6418905158837637
66,0.7811713687398217,0.6428272853295008
67,0.7840000236576254,0.6385746002197266
68,0.788083586909554,0.6332856933275859
69,0.7957451056350361,0.6397326638301213
70,0.7977605025876652,0.6500558177630107
71,0.7965584746815942,0.6363060891628266
72,0.790031184662472,0.6419994960228602
73,0.8048211230473084,0.6429121077060699
74,0.7984272268685427,0.6411738862593969
75,0.8044411098415201,0.6419210086266199
76,0.8084020603786815,0.6411566495895386
77,0.8045060000636362,0.6413318067789078
78,0.8156138038093392,0.6415547668933869
79,0.802602730962363,0.6423374573389689
80,0.8074004403569481,0.6414980282386143
